epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.4805,1.34236,0.71391,0.99203,0.76666,0.000329317,0.000329317,0.000329317
2,24.3025,0.60824,0.79008,0.99823,0.52756,0.00065609,0.00065609,0.00065609
3,35.3592,0.44476,0.8574,1,0.40294,0.000976263,0.000976263,0.000976263
4,47.0464,0.39952,0.85031,1,0.38254,0.0009703,0.0009703,0.0009703
5,59.31,0.33441,0.89903,1,0.29186,0.0009604,0.0009604,0.0009604
6,70.3447,0.31365,0.87865,1,0.31567,0.0009505,0.0009505,0.0009505
7,82.4153,0.28168,0.89725,1,0.29013,0.0009406,0.0009406,0.0009406
8,92.9739,0.23481,0.89283,1,0.26685,0.0009307,0.0009307,0.0009307
9,103.957,0.22179,0.88043,1,0.28162,0.0009208,0.0009208,0.0009208
10,115.011,0.24266,0.88485,1,0.30253,0.0009109,0.0009109,0.0009109
11,125.931,0.20651,0.90345,1,0.28064,0.000901,0.000901,0.000901
12,137.204,0.20356,0.90434,1,0.24817,0.0008911,0.0008911,0.0008911
13,147.756,0.19786,0.91497,1,0.24791,0.0008812,0.0008812,0.0008812
14,159.045,0.18707,0.90345,1,0.27323,0.0008713,0.0008713,0.0008713
15,170.275,0.17532,0.88751,1,0.29982,0.0008614,0.0008614,0.0008614
16,181.202,0.17207,0.90965,1,0.22591,0.0008515,0.0008515,0.0008515
17,192.441,0.16217,0.91763,1,0.2618,0.0008416,0.0008416,0.0008416
18,203.533,0.16572,0.90523,1,0.29641,0.0008317,0.0008317,0.0008317
19,214.224,0.14528,0.91674,1,0.25295,0.0008218,0.0008218,0.0008218
20,225.166,0.14105,0.9132,1,0.25932,0.0008119,0.0008119,0.0008119
21,236.161,0.15086,0.90523,1,0.31307,0.000802,0.000802,0.000802
22,247.206,0.15187,0.92117,1,0.24843,0.0007921,0.0007921,0.0007921
23,259.325,0.13679,0.92117,1,0.23645,0.0007822,0.0007822,0.0007822
24,270.424,0.13443,0.93268,1,0.23302,0.0007723,0.0007723,0.0007723
25,281.707,0.13462,0.92117,1,0.26865,0.0007624,0.0007624,0.0007624
26,292.703,0.13316,0.91674,1,0.2777,0.0007525,0.0007525,0.0007525
27,304.288,0.12708,0.92028,1,0.25985,0.0007426,0.0007426,0.0007426
28,315.506,0.12639,0.9256,1,0.26611,0.0007327,0.0007327,0.0007327
29,326.935,0.12812,0.92648,1,0.28681,0.0007228,0.0007228,0.0007228
30,337.447,0.11518,0.90965,1,0.28046,0.0007129,0.0007129,0.0007129
31,348.826,0.11266,0.92294,1,0.269,0.000703,0.000703,0.000703
32,359.676,0.1082,0.92383,1,0.26683,0.0006931,0.0006931,0.0006931
33,370.392,0.10242,0.92648,1,0.25764,0.0006832,0.0006832,0.0006832
34,381.814,0.10611,0.9256,1,0.2702,0.0006733,0.0006733,0.0006733
35,393.347,0.11123,0.91851,1,0.2664,0.0006634,0.0006634,0.0006634
36,403.941,0.09135,0.92737,1,0.2633,0.0006535,0.0006535,0.0006535
37,414.999,0.09692,0.91143,1,0.29466,0.0006436,0.0006436,0.0006436
38,425.837,0.10393,0.92117,1,0.28855,0.0006337,0.0006337,0.0006337
39,436.812,0.09264,0.9318,1,0.24645,0.0006238,0.0006238,0.0006238
40,447.894,0.08966,0.91585,1,0.31622,0.0006139,0.0006139,0.0006139
